location,population,vehicle_count,industrial_activity,energy_usage_mwh,green_space_pct,estimated_co2,cluster,risk_level
Zone_0,17795,10323,4,1904,57,1063.32,0,Low
Zone_1,2860,9707,6,7124,25,1826.44,2,Medium
Zone_2,40158,10040,2,562,2,954.6400000000001,0,Low
Zone_3,46732,16864,10,2804,35,2030.6,1,High
Zone_4,13284,5111,5,4486,7,1151.1999999999998,2,Medium
Zone_5,8265,19723,10,3938,21,2437.4,1,High
Zone_6,18850,6378,1,2669,18,821.52,0,Low
Zone_7,39194,16847,6,4995,3,2208.16,1,High
Zone_8,23962,1351,6,6350,42,1014.0799999999999,2,Medium
Zone_9,49191,18571,4,756,54,1594.4,0,Low
Zone_10,46131,7333,8,9217,39,1935.6799999999998,2,Medium
Zone_11,18023,12438,4,3008,41,1413.0,0,Low
Zone_12,43090,2927,8,5350,49,1089.1599999999999,2,Medium
Zone_13,3685,4500,8,7761,11,1618.32,2,Medium
Zone_14,2769,5552,5,2919,39,902.44,0,Low
Zone_15,4433,3238,4,6706,24,1171.76,2,Medium
Zone_16,7311,5887,2,3941,46,895.8800000000001,0,Low
Zone_17,39819,8502,3,9966,19,1954.08,2,Medium
Zone_18,41188,6036,3,4198,4,1109.6399999999999,0,Low
Zone_19,19568,13979,4,2603,26,1532.6799999999998,0,Low
Zone_20,21769,4413,4,8980,38,1496.6399999999999,2,Medium
Zone_21,30693,17950,10,9939,42,2952.6800000000003,1,High
Zone_22,8396,11136,5,494,32,1079.16,0,Low
Zone_23,29480,6226,4,5543,39,1226.2399999999998,2,Medium
Zone_24,43434,3873,10,1336,45,785.1600000000001,0,Low
Zone_25,27658,12661,8,2264,46,1506.5600000000002,0,Low
Zone_26,20942,2582,6,7209,36,1233.6399999999999,2,Medium
Zone_27,20431,16781,6,4743,40,2061.64,1,High
Zone_28,4747,15805,8,1207,37,1658.24,0,Low
Zone_29,2189,10317,7,5645,33,1718.7600000000002,2,Medium
Zone_30,21118,11761,10,5552,36,1949.12,1,High
Zone_31,37773,917,10,9639,3,1671.04,2,Medium
Zone_32,3899,9308,8,1635,9,1273.84,0,Low
Zone_33,3267,3767,2,771,8,459.88,0,Low
Zone_34,33551,17709,9,2582,33,2032.56,1,High
Zone_35,13394,6245,1,9637,59,1524.04,2,Medium
Zone_36,5556,11838,8,5284,6,1923.12,1,High
Zone_37,5890,912,4,477,41,187.2,0,Low
Zone_38,43606,8043,4,7259,39,1577.52,2,Medium
Zone_39,32740,8087,5,2087,4,1110.4,0,Low
Zone_40,16502,1228,8,1465,13,595.04,0,Low
Zone_41,23777,12157,5,7691,49,1973.48,1,High
Zone_42,12627,6488,8,1240,2,1021.8399999999999,0,Low
Zone_43,10792,19388,10,9309,5,3103.12,1,High
Zone_44,45323,3467,1,8273,44,1183.12,2,Medium
Zone_45,45021,15027,10,9277,27,2684.4,1,High
Zone_46,10433,19670,9,2952,32,2236.84,1,High
Zone_47,45001,16548,6,8413,21,2540.3999999999996,1,High
Zone_48,13016,18006,3,4769,8,2123.76,1,High
Zone_49,25897,18455,8,6553,38,2508.76,1,High
Zone_50,4612,5573,9,2553,8,1133.2,0,Low
Zone_51,25483,5604,6,7637,50,1484.7599999999998,2,Medium
Zone_52,19159,2643,7,4999,3,1117.3200000000002,2,Medium
Zone_53,46974,7857,1,886,54,617.8800000000001,0,Low
Zone_54,42994,12543,5,8676,44,2137.56,1,High
Zone_55,16541,3940,5,5011,58,967.52,2,Medium
Zone_56,37920,6144,10,9154,3,2031.0,2,Medium
Zone_57,28531,11018,4,5546,22,1660.96,2,Medium
Zone_58,3585,15052,6,5243,6,2085.32,1,High
Zone_59,5943,3414,7,2628,2,897.48,0,Low
Zone_60,25939,14084,9,5326,23,2101.84,1,High
Zone_61,21457,12644,1,8420,44,1934.92,1,High
Zone_62,3021,14897,6,9298,2,2571.52,1,High
Zone_63,13653,9287,7,8013,38,1905.52,2,Medium
Zone_64,45573,14691,3,9845,17,2440.68,1,High
Zone_65,15417,1228,8,3556,35,779.96,2,Medium
Zone_66,42757,18249,5,8907,34,2651.76,1,High
Zone_67,11692,1198,9,7466,23,1327.76,2,Medium
Zone_68,47758,7686,5,6740,30,1558.6799999999998,2,Medium
Zone_69,8873,15012,9,238,52,1478.52,0,Low
Zone_70,7675,14423,10,3542,8,2004.8799999999999,1,High
Zone_71,2161,17279,4,9278,22,2609.68,1,High
Zone_72,39065,7900,9,3044,44,1270.28,0,Low
Zone_73,28557,4671,5,1298,58,580.44,0,Low
Zone_74,35763,4860,10,7227,36,1598.04,2,Medium
Zone_75,34606,3002,9,2023,5,872.92,0,Low
Zone_76,13534,17601,3,3355,13,1906.6799999999998,1,High
Zone_77,31127,19666,4,3293,29,2061.44,1,High
Zone_78,42397,5986,9,5858,31,1493.84,2,Medium
Zone_79,27851,8835,10,3978,47,1493.16,2,Medium
Zone_80,3016,4991,6,3096,57,869.8,0,Low
Zone_81,26253,11630,2,1188,55,997.96,0,Low
Zone_82,26276,8151,7,4316,16,1437.0,2,Medium
Zone_83,25247,1667,2,6646,42,894.88,2,Medium
Zone_84,26300,1562,2,4379,30,650.44,0,Low
Zone_85,10529,19040,1,1882,57,1623.04,0,Low
Zone_86,19262,11674,3,5826,55,1603.04,2,Medium
Zone_87,11268,5229,6,7624,16,1555.1999999999998,2,Medium
Zone_88,23271,9848,8,1133,12,1247.8000000000002,0,Low
Zone_89,14185,5834,9,3798,17,1276.48,2,Medium
Zone_90,23243,9424,7,2180,16,1282.52,0,Low
Zone_91,41099,4830,4,3256,12,921.1200000000001,0,Low
Zone_92,10571,7301,6,9184,8,1932.1599999999999,2,Medium
Zone_93,41976,5346,5,991,20,711.6,0,Low
Zone_94,40044,7231,8,5590,3,1600.28,2,Medium
Zone_95,42774,15868,1,6835,16,2086.64,1,High
Zone_96,4568,17837,1,2455,30,1676.56,0,Low
Zone_97,4027,3039,6,3810,45,835.3199999999999,0,Low
Zone_98,4695,7556,10,1807,23,1202.32,0,Low
Zone_99,7258,12016,2,5379,28,1612.76,0,Low
Zone_100,24002,11993,5,6773,51,1844.2,1,High
Zone_101,41504,2042,1,1184,40,230.44,0,Low
Zone_102,35159,14464,7,5976,54,2027.2400000000002,1,High
Zone_103,15986,18075,1,3876,5,1941.12,1,High
Zone_104,14666,6813,4,3580,20,1094.6399999999999,0,Low
Zone_105,40660,19565,9,8911,40,2919.52,1,High
Zone_106,5561,18424,1,8982,56,2428.76,1,High
Zone_107,28854,14307,4,1250,44,1342.56,0,Low
Zone_108,40952,10080,6,3833,1,1533.3600000000001,0,Low
Zone_109,24662,18249,6,6542,57,2343.96,1,High
Zone_110,10392,9191,8,1159,30,1144.36,0,Low
Zone_111,32535,7994,1,6259,21,1372.6,2,Medium
Zone_112,15067,4812,7,9084,20,1730.04,2,Medium
Zone_113,25599,1824,1,5855,6,875.52,2,Medium
Zone_114,37222,3641,7,4673,22,1101.04,2,Medium
Zone_115,13837,2310,3,3146,18,643.3199999999999,0,Low
Zone_116,16039,7088,8,7925,8,1854.04,2,Medium
Zone_117,32818,19807,3,726,39,1689.6799999999998,0,Low
Zone_118,21115,5801,1,3424,32,823.96,0,Low
Zone_119,12965,15985,8,2075,33,1788.8,1,High
Zone_120,26538,12214,3,1963,53,1188.6799999999998,0,Low
Zone_121,44530,5248,2,8912,16,1531.2800000000002,2,Medium
Zone_122,7056,9935,1,5997,12,1523.44,2,Medium
Zone_123,34482,4209,3,9408,38,1486.68,2,Medium
Zone_124,49716,13616,2,7299,52,1899.1599999999999,1,High
Zone_125,10110,10076,2,5309,34,1431.1599999999999,0,Low
Zone_126,15773,10650,6,6844,14,1901.28,1,High
Zone_127,29266,19956,1,316,36,1571.4,0,Low
Zone_128,19412,7030,2,2633,33,869.3599999999999,0,Low
Zone_129,35270,10688,6,5663,23,1735.6,2,Medium
Zone_130,8910,15183,3,783,50,1293.6000000000001,0,Low
Zone_131,47453,1004,4,8786,45,1179.6399999999999,2,Medium
Zone_132,27446,1714,1,3988,2,654.6800000000001,0,Low
Zone_133,2206,2031,8,4367,41,923.52,2,Medium
Zone_134,23518,1323,7,8665,21,1397.6399999999999,2,Medium
Zone_135,24361,17812,7,1589,2,1924.64,1,High
Zone_136,25419,5529,3,8557,27,1523.1599999999999,2,Medium
Zone_137,43523,13928,10,9959,57,2588.3199999999997,1,High
Zone_138,47151,17017,10,6354,9,2546.84,1,High
Zone_139,24403,2605,3,5620,1,1014.8,2,Medium
Zone_140,20141,4127,2,9120,11,1481.56,2,Medium
Zone_141,16820,13472,1,2243,3,1382.92,0,Low
Zone_142,42342,2352,7,4397,52,874.8,2,Medium
Zone_143,8374,5410,7,3696,23,1122.32,0,Low
Zone_144,3678,11503,2,978,26,1049.6,0,Low
Zone_145,35827,14343,7,413,4,1500.0,0,Low
Zone_146,18198,12204,8,3962,18,1757.7600000000002,1,High
Zone_147,11914,16261,1,9968,55,2377.04,1,High
Zone_148,29890,6690,9,6931,6,1753.92,2,Medium
Zone_149,24299,18140,7,3317,35,2059.24,1,High
Zone_150,45585,6145,3,5991,22,1279.52,2,Medium
Zone_151,45689,10088,8,8983,43,2116.0,1,High
Zone_152,44557,12329,7,2920,15,1606.7200000000003,0,Low
Zone_153,46020,8553,8,9105,22,2070.84,2,Medium
Zone_154,4693,3830,6,9327,37,1584.64,2,Medium
Zone_155,31467,19587,9,6247,52,2565.6,1,High
Zone_156,31723,9162,5,8232,42,1819.8,2,Medium
Zone_157,48699,7614,3,201,12,732.24,0,Low
Zone_158,5627,13823,3,6568,47,1888.0,1,High
Zone_159,27939,1853,1,2149,49,304.12,0,Low
Zone_160,44941,11475,8,6932,42,1983.8400000000001,1,High
Zone_161,23834,11523,2,8033,38,1861.8,1,High
Zone_162,20047,1167,3,1117,18,308.4,0,Low
Zone_163,28105,9837,8,3374,45,1416.8400000000001,0,Low
Zone_164,12230,14159,8,7214,35,2253.4,1,High
Zone_165,17707,4219,4,289,30,462.19999999999993,0,Low
Zone_166,23976,19629,4,1909,24,1907.3999999999999,1,High
Zone_167,46262,7983,5,3241,42,1126.56,0,Low
Zone_168,25776,1039,6,305,30,299.72,0,Low
Zone_169,32080,5464,5,9278,14,1733.48,2,Medium
Zone_170,3306,5335,7,8819,6,1782.08,2,Medium
Zone_171,8776,6542,2,2095,3,855.76,0,Low
Zone_172,29251,15337,7,6290,16,2248.76,1,High
Zone_173,11474,7812,10,8708,7,2098.92,2,Medium
Zone_174,42294,5820,7,6282,52,1378.44,2,Medium
Zone_175,23959,13716,1,834,14,1200.36,0,Low
Zone_176,7530,3279,7,2125,9,805.3199999999999,0,Low
Zone_177,31320,17808,5,2256,15,1875.3600000000001,1,High
Zone_178,5748,2081,3,7117,21,1092.52,2,Medium
Zone_179,33968,13177,3,3344,35,1485.44,0,Low
Zone_180,34562,6213,4,9831,2,1850.76,2,Medium
Zone_181,15545,17139,2,752,27,1470.3600000000001,0,Low
Zone_182,2663,5304,2,9107,2,1601.1599999999999,2,Medium
Zone_183,36766,18722,1,5583,35,2107.72,1,High
Zone_184,9994,10636,5,4111,18,1515.2,0,Low
Zone_185,30021,509,4,3589,14,609.4,0,Low
Zone_186,32303,19755,10,9499,20,3110.2799999999997,1,High
Zone_187,5304,5624,2,8642,18,1522.96,2,Medium
Zone_188,48576,1515,3,2630,10,541.8,0,Low
Zone_189,41353,2693,7,658,25,534.4000000000001,0,Low
Zone_190,19675,8915,7,407,2,1071.04,0,Low
Zone_191,46417,14050,4,1099,25,1360.88,0,Low
Zone_192,25938,15012,5,221,54,1290.48,0,Low
Zone_193,25664,4658,5,8801,33,1554.7599999999998,2,Medium
Zone_194,3636,7470,6,1094,36,890.88,0,Low
Zone_195,22080,7438,9,714,31,992.72,0,Low
Zone_196,29728,14272,2,7494,14,2089.04,1,High
Zone_197,28736,18517,5,5104,1,2315.84,1,High
Zone_198,30673,10844,3,8067,46,1832.56,1,High
Zone_199,39505,7766,4,4309,16,1270.36,0,Low
Zone_200,49323,9202,10,7379,54,1909.6399999999999,2,Medium
Zone_201,48645,884,6,1760,46,413.9200000000001,0,Low
Zone_202,2854,904,8,1466,52,452.24,0,Low
Zone_203,26548,8675,1,3838,3,1190.56,0,Low
Zone_204,40623,15658,10,9141,35,2694.5600000000004,1,High
Zone_205,9392,13263,8,3627,41,1733.28,1,High
Zone_206,48717,18884,7,4980,6,2405.32,1,High
Zone_207,23556,10360,1,2127,25,1054.04,0,Low
Zone_208,40559,6489,2,2556,13,876.8399999999999,0,Low
Zone_209,28309,15606,3,4990,53,1823.28,1,High
Zone_210,23919,18344,1,506,34,1471.24,0,Low
Zone_211,6931,4136,9,8179,8,1693.3600000000001,2,Medium
Zone_212,34970,11416,8,3865,21,1674.08,2,Medium
Zone_213,46215,5309,2,7257,34,1283.56,2,Medium
Zone_214,14688,13956,9,861,4,1612.8,0,Low
Zone_215,27342,15944,7,4844,25,2096.8,1,High
Zone_216,39157,6497,9,8703,15,1924.12,2,Medium
Zone_217,4327,2548,6,3120,4,836.24,0,Low
Zone_218,42772,12838,6,9474,45,2298.92,1,High
Zone_219,42545,17600,4,9146,12,2649.52,1,High
Zone_220,2197,5044,10,6436,32,1529.84,2,Medium
Zone_221,25509,5476,10,6278,32,1545.44,2,Medium
Zone_222,36698,13275,2,552,28,1134.24,0,Low
Zone_223,46542,10515,7,9294,13,2232.48,1,High
Zone_224,17087,3919,5,7205,31,1310.12,2,Medium
Zone_225,24671,14930,6,358,14,1465.3600000000001,0,Low
Zone_226,27184,7739,2,1156,20,787.84,0,Low
Zone_227,29848,14989,5,2271,18,1642.64,0,Low
Zone_228,44107,17133,10,8795,29,2789.04,1,High
Zone_229,22666,10857,4,9779,6,2204.04,1,High
Zone_230,46357,17654,9,3653,32,2159.68,1,High
Zone_231,17708,4863,6,6875,29,1397.04,2,Medium
Zone_232,28370,10676,2,1155,43,953.6800000000001,0,Low
Zone_233,4811,17961,1,6495,2,2255.28,1,High
Zone_234,49011,8927,5,1912,23,1099.6,0,Low
Zone_235,8546,9080,9,4903,19,1662.7600000000002,2,Medium
Zone_236,36754,5358,6,6763,31,1417.1999999999998,2,Medium
Zone_237,32206,10540,10,9665,51,2300.0,1,High
Zone_238,43106,19698,7,5831,5,2575.5600000000004,1,High
Zone_239,13411,15754,5,9833,19,2608.2799999999997,1,High
Zone_240,4911,11970,10,1594,34,1496.8799999999999,0,Low
Zone_241,3734,1752,6,9661,10,1539.48,2,Medium
Zone_242,20227,7496,5,4932,25,1341.52,2,Medium
Zone_243,10680,12673,9,3914,2,1882.5200000000002,1,High
Zone_244,21360,5173,6,729,11,738.32,0,Low
Zone_245,20343,16281,8,3158,50,1891.44,1,High
Zone_246,7759,13551,2,8104,31,2053.56,1,High
Zone_247,25078,7381,9,3791,56,1282.4,2,Medium
Zone_248,37153,7449,5,7095,15,1627.32,2,Medium
Zone_249,13111,10021,7,9331,9,2209.4,1,High
