location,population,vehicle_count,industrial_activity,energy_usage_mwh,green_space_pct,estimated_co2,cluster,risk_level
Zone_250,39504,8517,10,725,23,1149.3600000000001,0,Low
Zone_251,3802,7441,1,6677,19,1384.52,2,Medium
Zone_252,10155,10709,10,201,9,1303.84,0,Low
Zone_253,10120,18215,5,574,35,1646.08,0,Low
Zone_254,41384,10050,10,4848,21,1772.76,2,Medium
Zone_255,49025,5137,2,2565,9,781.76,0,Low
Zone_256,49254,5354,6,1725,28,821.3199999999999,0,Low
Zone_257,23918,10820,1,1846,46,994.1199999999999,0,Low
Zone_258,22445,19064,3,213,51,1532.68,0,Low
Zone_259,32306,5392,5,4799,7,1211.24,2,Medium
Zone_260,18646,7543,4,2478,16,1032.8000000000002,0,Low
Zone_261,48843,17021,3,3355,16,1851.28,1,High
Zone_262,33065,19716,10,8521,33,2950.8,1,High
Zone_263,27199,4664,5,4014,4,1067.8,0,Low
Zone_264,43976,8441,8,3416,4,1433.1999999999998,0,Low
Zone_265,18371,14888,4,8419,39,2264.3199999999997,1,High
Zone_266,13835,6069,1,2313,40,688.0799999999999,0,Low
Zone_267,47936,4800,7,9644,17,1805.28,2,Medium
Zone_268,4049,6769,8,4556,37,1337.24,2,Medium
Zone_269,33616,4318,3,5743,39,1052.6,2,Medium
Zone_270,40191,12515,6,4755,52,1685.8000000000002,1,High
Zone_271,49357,12734,2,7262,29,1893.1599999999999,1,High
Zone_272,22932,18790,7,3574,52,2091.08,1,High
Zone_273,31855,6754,8,6630,36,1587.92,2,Medium
Zone_274,9158,17644,6,3666,38,2007.44,1,High
Zone_275,45016,7850,6,3281,39,1174.72,0,Low
Zone_276,9400,15683,5,829,50,1429.1200000000001,0,Low
Zone_277,44642,6738,8,469,37,844.3199999999999,0,Low
Zone_278,17151,6590,1,5924,52,1127.08,2,Medium
Zone_279,3154,12137,10,6097,35,2047.6,1,High
Zone_280,6499,13147,4,3632,7,1646.6,0,Low
Zone_281,8295,10411,4,9672,27,2092.52,1,High
Zone_282,14183,8972,3,6476,28,1545.88,2,Medium
Zone_283,31299,18771,3,6095,22,2302.08,1,High
Zone_284,14874,3766,4,7315,14,1317.08,2,Medium
Zone_285,34711,1166,1,6856,7,939.9999999999999,2,Medium
Zone_286,7539,4688,2,775,37,447.03999999999996,0,Low
Zone_287,44405,17555,9,7229,22,2610.88,1,High
Zone_288,4557,10661,10,6299,5,2043.7600000000002,1,High
Zone_289,40360,11814,2,9699,55,2034.0,1,High
Zone_290,18482,13391,5,3392,2,1697.32,0,Low
Zone_291,4200,5277,9,3378,27,1151.52,2,Medium
Zone_292,48940,4400,9,6252,21,1444.24,2,Medium
Zone_293,4961,14216,8,2934,54,1687.36,1,High
Zone_294,48975,7481,1,6316,38,1287.4,2,Medium
Zone_295,23357,6876,1,3768,15,1002.24,0,Low
Zone_296,13969,17407,9,9971,21,2931.08,1,High
Zone_297,4869,19277,8,2403,10,2160.52,1,High
Zone_298,48760,19477,10,1590,23,2129.96,1,High
Zone_299,30643,10660,9,1942,58,1316.8400000000001,0,Low
Zone_300,26736,14624,7,2125,56,1571.92,0,Low
Zone_301,40467,16782,3,819,39,1458.84,0,Low
Zone_302,25328,10988,3,1474,5,1175.92,0,Low
Zone_303,27876,5740,2,1156,1,684.9200000000001,0,Low
Zone_304,23295,10953,5,2139,13,1318.92,0,Low
Zone_305,5987,10978,3,4153,21,1448.6,0,Low
Zone_306,24399,12894,6,1168,26,1363.68,0,Low
Zone_307,48214,19762,2,9708,50,2685.92,1,High
Zone_308,35986,4932,3,9435,45,1526.76,2,Medium
Zone_309,22880,14068,5,481,21,1345.16,0,Low
Zone_310,6735,14678,1,6462,53,1835.6799999999998,1,High
Zone_311,46064,18160,1,1258,18,1594.76,0,Low
Zone_312,6555,802,10,4493,37,942.3199999999999,2,Medium
Zone_313,43914,17522,9,5378,45,2317.12,1,High
Zone_314,42818,555,7,7180,32,1125.0,2,Medium
Zone_315,47525,13513,1,9400,36,2146.04,1,High
Zone_316,21830,9217,8,1429,17,1217.8400000000001,0,Low
Zone_317,19429,8650,3,9427,35,1853.24,2,Medium
Zone_318,8893,2625,8,4785,49,997.1999999999998,2,Medium
Zone_319,16373,11979,5,8667,11,2190.36,1,High
Zone_320,49333,16245,1,2940,21,1634.4,0,Low
Zone_321,5436,17248,7,2489,52,1837.52,1,High
Zone_322,10754,7309,5,1439,55,817.4000000000001,0,Low
Zone_323,12677,5121,6,5570,53,1189.08,2,Medium
Zone_324,7895,15534,6,325,26,1473.72,0,Low
Zone_325,21738,14123,8,7673,4,2398.6,1,High
Zone_326,32746,5626,9,9600,34,1905.08,2,Medium
Zone_327,34352,5622,2,5542,52,1048.8,2,Medium
Zone_328,41790,18530,9,7551,48,2649.52,1,High
Zone_329,43919,17802,10,6838,18,2640.7200000000003,1,High
Zone_330,7600,19681,9,6770,40,2671.88,1,High
Zone_331,31124,6370,10,3449,35,1268.48,2,Medium
Zone_332,29643,2031,10,9310,41,1606.68,2,Medium
Zone_333,42764,8672,7,7795,29,1857.1599999999999,2,Medium
Zone_334,11007,8173,1,6494,52,1322.12,2,Medium
Zone_335,47714,7382,7,6727,29,1625.8000000000002,2,Medium
Zone_336,39410,2406,10,5957,38,1243.32,2,Medium
Zone_337,46080,3586,5,2169,42,646.16,0,Low
Zone_338,42447,14003,6,1091,21,1458.16,0,Low
Zone_339,10208,8652,10,4670,42,1576.56,2,Medium
Zone_340,20589,6250,7,7375,13,1661.0,2,Medium
Zone_341,45484,13272,5,9756,49,2310.48,1,High
Zone_342,19453,10767,7,8520,41,2075.76,1,High
Zone_343,38212,1562,9,9406,17,1607.68,2,Medium
Zone_344,45525,18860,3,7012,56,2317.24,1,High
Zone_345,49202,18180,8,7719,9,2713.6800000000003,1,High
Zone_346,34635,6729,2,4812,41,1082.76,0,Low
Zone_347,35828,17009,7,9910,1,2861.92,1,High
Zone_348,20711,15647,2,1398,2,1503.52,0,Low
Zone_349,5420,5132,4,5438,48,1099.12,2,Medium
Zone_350,33216,6788,7,6289,29,1525.7199999999998,2,Medium
Zone_351,2301,4096,3,6457,33,1138.52,2,Medium
Zone_352,47236,11975,2,7905,10,1966.6,1,High
Zone_353,2699,6668,10,3919,50,1303.72,2,Medium
Zone_354,2190,10295,7,502,58,1024.84,0,Low
Zone_355,12492,8061,1,1186,40,712.2,0,Low
Zone_356,37743,8758,8,4640,21,1554.4399999999998,2,Medium
Zone_357,8102,17116,3,5109,28,2033.3599999999997,1,High
Zone_358,21778,6871,2,3272,11,999.3200000000002,0,Low
Zone_359,28641,14869,3,3324,55,1558.4,0,Low
Zone_360,36584,13410,5,9719,34,2362.08,1,High
Zone_361,34745,8443,8,8325,8,2010.44,2,Medium
Zone_362,25093,12699,10,3491,59,1707.8400000000001,1,High
Zone_363,2569,16228,7,4233,22,2055.2,1,High
Zone_364,40210,7238,7,5305,8,1506.6399999999999,2,Medium
Zone_365,36663,16413,7,903,49,1589.3999999999999,0,Low
Zone_366,38631,2972,8,8333,15,1552.7199999999998,2,Medium
Zone_367,47681,19623,1,774,17,1656.7200000000003,0,Low
Zone_368,9455,16179,4,5904,23,2113.8,1,High
Zone_369,6014,2261,6,8048,24,1344.6399999999999,2,Medium
Zone_370,13093,10667,9,5408,45,1772.3200000000002,2,Medium
Zone_371,20070,11054,2,7124,19,1772.2,2,Medium
Zone_372,37777,17760,1,4028,5,1934.1599999999999,1,High
Zone_373,18538,14777,10,3430,32,1947.76,1,High
Zone_374,12729,4312,2,688,44,385.52,0,Low
Zone_375,36177,18344,7,7314,1,2657.2,1,High
Zone_376,47017,18617,3,9739,23,2724.04,1,High
Zone_377,2784,2105,10,3373,37,912.16,2,Medium
Zone_378,29751,6122,2,1867,8,779.8,0,Low
Zone_379,42864,7267,7,4314,13,1375.04,2,Medium
Zone_380,42328,12113,2,3753,8,1485.3999999999999,0,Low
Zone_381,14533,11089,3,7961,57,1806.44,1,High
Zone_382,42111,14418,7,1200,23,1543.44,0,Low
Zone_383,41974,13546,4,9242,43,2243.7200000000003,1,High
Zone_384,7801,3090,1,1588,1,479.76000000000005,0,Low
Zone_385,21190,17947,5,5650,45,2203.76,1,High
Zone_386,40754,4824,9,3912,51,1107.3600000000001,2,Medium
Zone_387,31592,11287,8,1567,24,1379.0,0,Low
Zone_388,12647,9611,9,8389,35,2075.56,1,High
Zone_389,10716,5842,10,9213,24,1950.92,2,Medium
Zone_390,25355,16889,9,654,17,1783.6000000000001,0,Low
Zone_391,24009,9159,7,2972,5,1389.3600000000001,0,Low
Zone_392,26376,14543,4,3926,20,1754.56,1,High
Zone_393,47091,9337,5,7432,21,1800.8,2,Medium
Zone_394,6780,617,1,5006,40,575.08,0,Low
Zone_395,4368,14417,1,2390,58,1311.16,0,Low
Zone_396,14039,19435,3,9308,31,2713.76,1,High
Zone_397,8655,14809,8,3075,46,1775.72,1,High
Zone_398,42941,13734,2,5792,36,1775.76,1,High
Zone_399,6495,6060,4,1640,11,828.5999999999999,0,Low
Zone_400,12893,1346,2,9127,52,1136.92,2,Medium
Zone_401,27547,11454,5,6259,15,1847.4,1,High
Zone_402,24386,14203,9,7210,19,2349.44,1,High
Zone_403,15403,15885,1,7317,7,2172.84,1,High
Zone_404,34097,14246,5,9353,51,2334.04,1,High
Zone_405,15121,6969,9,3189,28,1261.2,0,Low
Zone_406,12966,9833,1,9418,51,1808.7999999999997,2,Medium
Zone_407,35621,17108,9,6428,43,2416.0,1,High
Zone_408,30312,13319,8,6671,58,2052.04,1,High
Zone_409,24677,4708,4,3063,5,909.2,0,Low
Zone_410,33289,6783,10,1377,5,1142.8799999999999,0,Low
Zone_411,33024,2548,5,4960,30,934.04,2,Medium
Zone_412,44675,6733,5,211,54,626.96,0,Low
Zone_413,6777,13441,6,5452,32,1903.52,1,High
Zone_414,31749,13107,7,4599,8,1891.44,1,High
Zone_415,17338,10265,8,8434,10,2163.2799999999997,1,High
Zone_416,4491,2328,8,9335,38,1552.44,2,Medium
Zone_417,29236,2417,2,5645,47,819.76,2,Medium
Zone_418,16599,7488,9,6770,32,1720.44,2,Medium
Zone_419,21508,18910,7,9396,48,2811.3199999999997,1,High
Zone_420,5051,15094,4,8412,28,2312.96,1,High
Zone_421,23606,13477,4,606,17,1279.88,0,Low
Zone_422,23699,509,8,9406,31,1436.44,2,Medium
Zone_423,2876,17144,4,4631,8,2083.24,1,High
Zone_424,34093,10365,6,5443,40,1632.3600000000001,2,Medium
Zone_425,6142,2719,5,6742,25,1176.56,2,Medium
Zone_426,17202,7541,3,7136,9,1567.6,2,Medium
Zone_427,41734,18944,10,9106,2,3052.24,1,High
Zone_428,9079,5787,2,4346,15,1029.48,0,Low
Zone_429,9987,2119,9,340,50,465.31999999999994,0,Low
Zone_430,41567,9012,10,5082,3,1771.8000000000002,2,Medium
Zone_431,30940,1842,9,6212,49,1150.8,2,Medium
Zone_432,39233,11068,1,1163,36,962.0,0,Low
Zone_433,19019,19716,10,7351,4,2897.4,1,High
Zone_434,48185,19708,3,8764,14,2721.32,1,High
Zone_435,20077,18878,8,3810,41,2204.44,1,High
Zone_436,28258,14731,6,7094,41,2176.76,1,High
Zone_437,23136,3990,5,7511,25,1370.52,2,Medium
Zone_438,10311,9810,5,305,58,872.4000000000001,0,Low
Zone_439,19214,8484,6,5739,55,1472.4,2,Medium
Zone_440,16098,18488,7,6987,50,2482.48,1,High
Zone_441,30251,12719,1,2337,10,1312.96,0,Low
Zone_442,39945,735,9,4645,21,958.2,2,Medium
Zone_443,49030,10661,3,3730,36,1327.48,0,Low
Zone_444,27945,2408,4,1486,12,514.96,0,Low
Zone_445,27316,9067,10,7252,27,1964.6000000000001,2,Medium
Zone_446,34217,4030,1,3854,40,709.88,0,Low
Zone_447,10308,5756,10,7302,2,1780.72,2,Medium
Zone_448,7949,19519,3,2559,54,1841.6,1,High
Zone_449,3150,8662,2,8305,13,1740.56,2,Medium
Zone_450,25944,19444,2,8836,53,2546.84,1,High
Zone_451,36699,5915,1,6641,32,1219.12,2,Medium
Zone_452,11204,3891,8,5247,31,1207.92,2,Medium
Zone_453,3081,11657,3,8427,16,2030.8000000000002,1,High
Zone_454,31305,6451,3,5403,32,1203.44,2,Medium
Zone_455,18896,8507,6,9867,32,2038.6,2,Medium
Zone_456,48175,9564,8,1998,34,1262.8799999999999,0,Low
Zone_457,9805,16024,9,9800,11,2829.92,1,High
Zone_458,7237,19782,9,5491,10,2616.48,1,High
Zone_459,22056,577,4,5695,15,864.56,2,Medium
Zone_460,47543,8077,5,6484,17,1598.2399999999998,2,Medium
Zone_461,47952,17484,2,7485,40,2266.92,1,High
Zone_462,5343,14560,9,1500,18,1695.8,0,Low
Zone_463,15500,17949,8,7069,55,2479.2,1,High
Zone_464,31375,19020,3,9635,9,2785.8,1,High
Zone_465,11662,11035,9,3297,25,1608.44,0,Low
Zone_466,18964,10010,3,4816,40,1393.72,0,Low
Zone_467,49893,7443,9,209,59,848.52,0,Low
Zone_468,10130,12454,2,5952,14,1758.5600000000002,1,High
Zone_469,21531,8304,10,6495,58,1719.7200000000003,2,Medium
Zone_470,3679,7065,9,5015,25,1497.0,2,Medium
Zone_471,5506,6484,8,1272,50,881.3600000000001,0,Low
Zone_472,15284,5170,9,3425,22,1163.6,2,Medium
Zone_473,9253,19074,5,1516,52,1776.8400000000001,1,High
Zone_474,21128,9684,2,5899,30,1482.6,2,Medium
Zone_475,29932,19596,8,7007,20,2708.52,1,High
Zone_476,11435,2692,6,6874,21,1247.24,2,Medium
Zone_477,46078,1748,8,3883,44,833.8,2,Medium
Zone_478,15296,11746,5,7427,32,1959.92,1,High
Zone_479,32445,13290,10,3473,51,1776.96,1,High
Zone_480,15245,18881,2,7200,46,2326.48,1,High
Zone_481,31124,4187,6,345,49,499.36,0,Low
Zone_482,31899,4518,5,5210,56,1043.6399999999999,2,Medium
Zone_483,45919,11802,5,3240,21,1494.9599999999998,0,Low
Zone_484,45225,2470,1,9854,35,1320.08,2,Medium
Zone_485,37247,8889,2,9976,58,1824.2399999999998,2,Medium
Zone_486,31222,18086,8,682,32,1792.72,1,High
Zone_487,28211,15874,3,3379,30,1720.4,1,High
Zone_488,39220,6288,10,1449,55,961.9200000000001,0,Low
Zone_489,28646,5908,3,830,39,590.24,0,Low
Zone_490,40649,9946,8,9053,49,2095.04,1,High
Zone_491,25049,1422,8,3052,12,804.0,0,Low
Zone_492,16069,919,2,1187,41,182.95999999999998,0,Low
Zone_493,34580,19088,8,7822,47,2684.68,1,High
Zone_494,33843,11289,1,7527,18,1797.3600000000001,1,High
Zone_495,4849,1620,6,9938,21,1529.1599999999999,2,Medium
Zone_496,42158,11760,8,9041,13,2346.7200000000003,1,High
Zone_497,25289,17834,3,9360,21,2621.92,1,High
Zone_498,46690,2836,8,1300,8,718.88,0,Low
Zone_499,37257,5873,1,6852,46,1199.08,2,Medium
